NoConcentrationX,NoConcentrationY,WithConcentrationX,WithConcentrationY
0.052373829972015784,25.87532045412928,0.01620348033066349,26.432232535249952
0.050982662678117574,26.1800345632668,0.052373829972015784,26.831041704815966
0.0815883431438772,26.310117194652992,0.10245585255234968,26.898379131569307
0.1469732059570909,26.628793947994872,0.15253787513268352,26.606928073709266
0.1873170574801376,26.736598150521882,0.16026658232100666,26.210148286333393
0.19149055936183212,25.880990307303023,0.19427289394962843,25.31427498293686
0.20957573418250824,26.323377901254347,0.2137492360642027,25.73573406885186
0.21235806877030455,26.60324860373558,0.2220962398275917,25.593177760483428
0.25409308758724947,26.298831486907158,0.2387902473543697,26.642965745742536
0.25409308758724947,26.724421465848746,0.24435491652996233,26.44851561069401
0.2568754221750458,25.503486083134955,0.2554842548811477,26.115884224501006
0.2883663909187405,25.24893667493466,0.2554842548811477,26.846485304889214
0.3036625748487788,26.75871715474251,0.2693959278201292,25.09423068119392
0.303727470595173,26.5100121887017,0.27217826240792564,26.549492995788317
0.3125221139309723,25.182501038205977,0.32782495416385204,25.49814022157114
0.3125221139309724,26.712855932979306,0.3417366271028337,25.331554535466363
0.33063945446942655,26.56459543706614,0.38370350713542845,26.48133326084966
0.3403454598089355,24.7895165720564,0.40294798803435283,25.795132530672035
0.35425713274791726,26.441031404504667,0.40573032262214936,25.943628685222485
0.3612290520762971,26.47673063065848,0.40851265720994556,25.510019913935174
0.3538416588932849,26.555432841970333,0.4160035580232433,25.257542116828418
0.38208047862588057,26.68373351950192,0.42520666473672364,26.562362060158634
0.3904274823892694,25.045523942501372,0.43465177036536673,25.13802321766465
0.394600984270964,26.25412064473706,0.47738347968734895,26.36852768494781
0.3959921515648621,25.721775430324115,0.4884636121488385,26.596518821775184
0.3959921515648622,25.85245204632851,0.4892003602560391,25.872620524046543
0.3779552253208531,26.521825215162057,0.5077168096348175,25.7104177107528
0.4140773263855383,26.70527896156215,0.49618836244330766,26.35298308459989
0.4405095049696034,25.876533172724777,0.49676895364920015,26.55132645119941
0.45024767602689053,26.155573196717217,0.5253707098973914,26.216861609595313
0.45442117790858505,26.059455685771837,0.5504117211875582,24.867120032960997
0.4711151854353629,24.973354811389854,0.5587587249509471,23.745723602070882
0.48224452378654825,25.477350759934076,0.5782350670655215,25.640966522947842
0.48363569108044635,25.751393663331726,0.5893644054167069,25.91409145011736
